Quarters,BAJAJ AUTO LTD.,CIPLA LTD.,COAL INDIA LTD.,DR. REDDY'S LABORATORIES LTD.,GRASIM INDUSTRIES LTD.,H C L TECHNOLOGIES LTD.,HERO MOTOCORP LTD.,HINDALCO INDUSTRIES LTD.,I C I C I BANK LTD.,I T C LTD.,INDUSIND BANK LTD.,INFOSYS LTD.,MARUTI SUZUKI INDIA LTD.,N T P C LTD.,OIL & NATURAL GAS CORPN. LTD.,POWER GRID CORPN. OF INDIA LTD.,STATE BANK OF INDIA,TATA CONSULTANCY SERVICES LTD.,TATA MOTORS LTD.,WIPRO LTD.,market return,SMB,HML,RMW,CMA,MOM
2020Q4,0.187676669,0.050692256,0.159954963,-0.004382704,0.239057609,0.158066186,-0.019568879,0.364893105,0.500527792,0.20952192,0.689191916,0.237806973,0.126657387,0.159732608,0.335964859,0.160949831,0.475292258,0.140920353,0.371502354,0.224143496,0.175213255,0.045746563,0.024756518,-0.027293102,0.107803331,0.405197169
2021Q1,0.057826508,-0.013868601,-0.045605876,-0.140342993,0.555391762,0.030623787,-0.071104731,0.350807566,0.079982101,0.037500939,0.058530555,0.081431646,-0.11127927,0.064517456,0.089843277,0.127943155,0.31701457,0.102115384,0.63360201,0.064279404,0.050750015,-0.023627187,0.065639597,2.04E-05,-0.035983553,0.441524336
2021Q2,0.117915434,0.184078943,0.116757857,0.192562433,0.024938684,-0.007425083,-0.012065489,0.129999644,0.075544302,-0.080601304,0.056564013,0.147223231,0.087449937,0.084154771,0.143937026,0.069382063,0.142409882,0.044544373,0.116958418,0.309227717,0.059414905,0.033002422,-0.010055248,-0.088197444,-0.073883957,0.282587084
2021Q3,-0.080986069,0.003862621,0.254064676,-0.108132507,0.105770703,0.292892568,-0.03227497,0.30339306,0.102749147,0.156897991,0.08588868,0.05159239,-0.031787376,0.210518403,0.219573327,-0.190998564,0.072505562,0.120337272,-0.026528214,0.153976038,0.125175164,0.029831901,-0.119665997,-0.075002033,-0.157053967,0.3808535
2021Q4,-0.1605356,-0.048426967,-0.219284206,-0.00292859,-0.036589945,0.022592143,-0.139085034,-0.033729601,0.047757605,-0.08496336,-0.209549286,0.118563211,0.003729636,-0.131334433,-0.022850033,0.068038816,0.008128755,-0.01817003,0.438810483,0.119817203,-0.001213685,-0.011519827,-0.120300301,-0.046182535,-0.112688435,0.277076634
2022Q1,0.11455925,0.068628373,0.243637704,-0.134328276,0.016035667,-0.127469885,-0.07791432,0.187860525,-0.023008307,0.1398068,0.043500279,0.000417671,0.008457876,0.075508809,0.141282952,0.050965168,0.062186004,-0.009272198,-0.110550111,-0.18227306,-0.062820823,-0.050087687,0.043674254,0.014937571,0.094522989,0.363044535
2022Q2,-0.000368116,-0.11410292,-0.001110368,0.007855333,-0.221321036,-0.17873594,0.17045255,-0.420396563,-0.046671825,0.076121988,-0.165832093,-0.248383936,0.105235949,0.043477531,-0.090391812,-0.037642464,-0.071063681,-0.14147316,-0.065646175,-0.312135092,-0.122453208,0.038925082,-0.07413318,-0.004973249,-0.06862386,0.337782866
2022Q3,-0.062794207,0.201059392,0.129045922,-0.027765618,0.253562803,-0.056566586,-0.077233178,0.138713134,0.204348963,0.200082789,0.477495075,-0.047684242,0.02764981,0.102672396,-0.177854878,-0.013126678,0.124328562,-0.094904229,-0.032026656,-0.066939988,0.053332207,0.05207616,-0.118518108,-0.116432869,-0.107496888,0.472685646
2022Q4,0.008597138,-0.051412127,0.043873263,-0.039070616,0.012614397,0.098277161,0.057962909,0.195575726,0.017035697,-0.018389633,0.013013527,0.050601581,-0.065542929,0.026160193,0.140901405,-0.009364177,0.140182173,0.067489737,-0.057584735,-0.020237672,0.005960163,0.066151668,0.145694926,0.115703455,0.211443258,0.305103549
2023Q1,0.057394537,-0.179978262,-0.067568474,0.073988518,-0.069596557,0.027299387,-0.15985627,-0.160569977,-0.032179383,0.139775218,-0.141615957,-0.070122187,-0.029117338,0.035054494,0.012388469,0.039240422,-0.163483049,-0.032511676,0.067762796,-0.08693216,-0.03031224,0.031024784,-0.025080922,0.00179243,-0.005788678,0.279999619
2023Q2,0.191284958,0.110697124,0.064808648,0.099733238,0.046043646,0.078233639,0.223339494,0.022086326,0.048975817,0.161176033,0.270786796,-0.081142097,0.164121196,0.063840929,0.044839067,0.114084008,0.077348083,0.013655029,0.398881484,0.0490357,0.093737125,0.052020127,-0.022475287,-0.015134856,0.000454746,0.310214999
2023Q3,0.062940483,0.152295278,0.261539096,0.066452897,0.103381812,0.023054705,0.034182291,0.153946036,0.002127611,-0.032326295,0.023045236,0.058457902,0.067542424,0.281793069,0.180435483,-0.233510162,0.02848042,0.052161192,0.041798531,0.027045002,-0.002612156,0.155675798,0.08244017,0.079242333,0.120843566,0.335678055
2023Q4,0.325602821,0.033964622,0.256967078,0.021002685,0.082307059,0.170572125,0.337265299,0.231300621,0.030213055,0.023083324,0.102301127,0.058108916,-0.045796797,0.250409707,0.052058094,0.170738696,0.055929974,0.058298268,0.220877318,0.143948837,0.130960795,0.009929374,-0.01460065,-0.008590191,0.015097612,0.278363898
2024Q1,0.329497954,0.184752797,0.138158773,0.045728943,0.055072759,0.036464725,0.124413667,-0.105164651,0.080667398,-0.089398643,-0.045100113,-0.045431141,0.206693401,0.062859736,0.290879632,0.151006805,0.15543097,0.005491242,0.256539605,0.002309255,-0.028362664,0.030745722,0.026619614,-0.045913265,0.026911539,0.366444594
2024Q2,0.022109929,-0.027320367,0.073424467,0.023165211,0.15098015,-0.070919377,0.165011128,0.221397732,0.08069681,-0.024585925,-0.073518242,0.029327854,-0.061490833,0.110180565,0.006411717,0.178665058,0.111865923,-0.009347078,-0.019603883,0.05584899,0.101879958,0.047291858,-0.106632945,0.008875676,-0.049281953,0.450932724
2024Q3,0.283776267,0.101459593,0.062627562,0.038978541,0.031274296,0.214970873,0.008229248,0.074760607,0.045615321,0.203891662,-0.027111516,0.181556071,0.08449183,0.1558304,0.069767427,0.050601397,-0.087484103,0.07775203,-0.030828119,0.036093793,0.053621221,0.037201997,-0.048294629,-0.010955546,-0.012294898,0.260898809
2024Q4,-0.303005308,-0.091306517,-0.262662446,-0.810021309,-0.141894719,0.05185895,-0.287330911,-0.218995493,-0.008881292,-0.082259301,-0.352406025,-0.013330349,-0.195431515,-0.263532763,-0.211744813,-0.140800255,-0.006728429,-0.056369717,-0.256275454,-0.458191733,-0.137206179,0.024621382,-0.040249261,0.005254273,-0.015196784,0.301904698
